word	other_form	surface_form	direction	freq	pmi	example_sentence
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Seuraava kysymys on aiheuttanut paljon hämmennystä suvuton lisääntyminen .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Lemmenvalasi on aiheuttanut kasinolle miljoonan taalan tappion !
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Kirja on analyysi haavoista , joita aikamme on aiheuttanut ... perinteiselle mieskuvalle .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Haavoista , jotka aikamme on aiheuttanut perinteiselle mieskuvalle .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Mikä sen on aiheuttanut ?
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Ei ole tapaa mitata syvällekäyvää vaikutusta , jonka Zoe-istute on aiheuttanut ihmisten suhtautumiseen toisiinsa .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	On aiheellista olettaa , se on aiheuttanut lievää muistinmenetystä .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Vuosien sodankäynti kilpailevien heimojen välillä on aiheuttanut nälänhätää raamatullisessa mittakaavassa
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Sen puuttuminen on aiheuttanut paljon vaivaa .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Onko sattunut jotain , joka on aiheuttanut takapakkia ?
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Olen pahoillani , hän on aiheuttanut sinulle pahan mielen .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Sinä olet se joka on aiheuttanut pelkkiä harmeja , vai ?
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Huomautus : ruumiiden läheisyys ulottuvuushypyn aikana on aiheuttanut kaksiprosenttisen geneettisen materiaalin siirtymän .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Tämä hyökkäys suurimpaan siviilisiirtokuntaamme on aiheuttanut suunnatonta tuhoa henkien menetystä .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	pääministerin valitettava kuolema pian keisarin jälkeen on aiheuttanut voimatasapainon muuttumisen kotona .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Paikallinen asia , ei ole mitään tekemistä meidän kanssamme , se on aiheuttanut heille ...
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Ajattelen kai enemmän sitä kipua ahdistusta , mitä se on aiheuttanut ystävillä rakkaille .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	se on aiheuttanut ongelmia sillalla .
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	Tarkoitatko , tämä on aiheuttanut tuon ?
aiheuttaa	olla	on aiheuttanut	L	2330	0.0911	On ollut tapauksia missä ruumiinbalsamointiaine on aiheuttanut kemiallisen reaktion aiheuttaen lämpöä palamista .
aiheuttaa	ongelma	aiheuttaa ongelmia	R	1818	4.7752	Aiot aiheuttaa ongelmia .
aiheuttaa	ongelma	aiheuttaa ongelmia	R	1818	4.7752	En halua aiheuttaa ongelmia .
