word	other_form	surface_form	direction	freq	pmi	example_sentence
asia	olla	asia on	R	33845	0.3619	Eri asia on , haluatko ?
asia	olla	asia on	R	33845	0.3619	Yksi asia on varma , sitä ei tehnyt englantilainen .
asia	olla	asia on	R	33845	0.3619	Hyvä asia on , ettet laskuta tuntien mukaan .
asia	olla	asia on	R	33845	0.3619	, asia on nyt niin , osa vanhoista ohjelmistasi ei pärjää enää niin hyvin .
asia	olla	asia on	R	33845	0.3619	Se asia on tosi .
asia	olla	asia on	R	33845	0.3619	Isä , tämä asia on loppuun käsitelty .
asia	olla	asia on	R	33845	0.3619	Mikäs se asia on ?
asia	olla	asia on	R	33845	0.3619	Perun kaiken ... asia on loppuun käsitelty .
asia	olla	asia on	R	33845	0.3619	Nykyisellä Paavillamme Leolla ei ole mitään Clementin määräystä vastaan ... asia on sillä selvä .
asia	olla	asia on	R	33845	0.3619	Laittaisitteko tämän ikkunaan , asia on tärkeä .
asia	olla	asia on	R	33845	0.3619	Yksi asia on varma .
asia	olla	asia on	R	33845	0.3619	Antakaa minulle , mitä haluan , niin asia on sovittu .
asia	olla	asia on	R	33845	0.3619	Siinä tapauksessa asia on sovittu .
asia	olla	asia on	R	33845	0.3619	Vihoviimeinen asia on se kansallissankari joutuu huonoon valoon .
asia	olla	asia on	R	33845	0.3619	asia on niin ...
asia	olla	asia on	R	33845	0.3619	Mike , asia on sinulle liian henkilö kohtainen .
asia	olla	asia on	R	33845	0.3619	asia on kerran niin , niin hyvä sitten .
asia	olla	asia on	R	33845	0.3619	Kenraali , yksi asia on varma .
asia	olla	asia on	R	33845	0.3619	asia on niin , unohdan joskus , miltä näytit .
asia	olla	asia on	R	33845	0.3619	asia on niin Mary , kaikki riippuu nyt sinusta .
asia	yksi	yksi asia	L	23323	3.7877	On vielä yksi asia .
asia	yksi	yksi asia	L	23323	3.7877	on yksi asia , jonka tiedän .
asia	yksi	yksi asia	L	23323	3.7877	Lupaa sitten yksi asia .
asia	yksi	yksi asia	L	23323	3.7877	Minun pitää tunnustaa yksi asia .
asia	yksi	yksi asia	L	23323	3.7877	Minun pitää kertoa sinulle yksi asia .
asia	yksi	yksi asia	L	23323	3.7877	Vielä yksi asia , Benes ...
asia	yksi	yksi asia	L	23323	3.7877	On yksi asia minkä voit tehdä : poistua maasta .
asia	yksi	yksi asia	L	23323	3.7877	Nimeä yksi asia , jonka he ovat saavuttaneet !
asia	yksi	yksi asia	L	23323	3.7877	Neekerit varkaina ovat yksi asia neekerit kirkossa , se on aivan muuta !
asia	yksi	yksi asia	L	23323	3.7877	Oppikaa yksi asia kiinalaisista .
asia	yksi	yksi asia	L	23323	3.7877	Kerro yksi asia , äiti .
asia	yksi	yksi asia	L	23323	3.7877	mietin hänen sanojaan , mieleen tulee vain yksi asia .
asia	yksi	yksi asia	L	23323	3.7877	Paitsi yksi asia :
asia	yksi	yksi asia	L	23323	3.7877	Vielä yksi asia .
asia	yksi	yksi asia	L	23323	3.7877	Se on yksi asia , jota et ymmärrä .
asia	yksi	yksi asia	L	23323	3.7877	Mikä on yksi asia mikä meidän tulee muistaa valtamerestä ?
asia	yksi	yksi asia	L	23323	3.7877	on yksi asia mitä chicago rakastaa enemmän mitään muuta se on raha .
asia	yksi	yksi asia	L	23323	3.7877	On vain yksi asia mitä tällä voi tehdä .
asia	yksi	yksi asia	L	23323	3.7877	Muistakaa ettei ole väliä ... kuka olet mitä teet ... yksi asia yhdistää jokaisen
asia	yksi	yksi asia	L	23323	3.7877	Se mitä kerron sinulle on yksi asia , heitä koskevat kysymykset eivät kuulu sopimukseemme .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian huomenna .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian toisin .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian , tri Cocteau .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian tästä .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian itse .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian parissa viikossa .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian SLA: n kanssa .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian , rouva .
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian heti !
asia	hoitaa	hoidan asian	L	13462	4.0853	Hoidan asian heti .
