word	other_form	surface_form	direction	freq	pmi	example_sentence
hyvä	olla	on hyvä	L	250151	1.4159	Wohop on hyvä , pidät vaihtelusta , mene La Chinita Lindaan .
hyvä	olla	hyvä on	R	156531	0.9471	Hyvä on .
hyvä	yö	hyvää yötä	R	31828	4.2202	Hyvää yötä , Henry .
hyvä	tehdä	teen parhaani	L	19111	1.1754	Teen parhaani , tunnet säännöt .
hyvä	ystävä	paras ystäväni	R	18405	3.1638	Olet paras ystäväni .
hyvä	näyttää	näytät hyvältä	L	18391	2.6288	Näytät hyvältä märkänä .
hyvä	työ	hyvää työtä	R	15761	2.7106	Hyvää työtä , Hyvää työtä !
hyvä	luoja	hyvä luoja	R	13986	3.3808	Hyvä luoja , se tapahtui !
hyvä	uutinen	hyviä uutisia	R	10967	4.1945	Vielä lisää hyviä uutisia .
hyvä	idea	hyvä idea	R	10665	4.1169	Tämä ei ole minusta hyvä idea .
hyvä	mies	hyvä mies	R	10639	1.7783	Richie oli hyvä mies .
hyvä	kuulostaa	kuulostaa hyvältä	L	10430	3.5696	Kuulostaa hyvältä suunnitelmalta .
hyvä	herra	hyvät herrat	R	10144	2.2243	Hyvät herrat .
hyvä	huomen	hyvää huomenta	R	9285	4.6368	Hyvää huomenta , Gracie .
hyvä	nainen	hyvät naiset	R	9252	2.3863	Hyvät naiset herrat hra John Merrick .
hyvä	oikein	oikein hyvä	L	8370	2.5672	Oikein hyvä .
hyvä	todella	todella hyvä	L	8056	2.3447	Tuo oli todella hyvä valinta .
hyvä	ilta	hyvää iltaa	R	7671	2.7951	Hyvää iltaa , naiset herrat !
hyvä	ajatus	hyvä ajatus	R	7670	3.6494	Se on aina hyvä ajatus .
hyvä	jumala	hyvä jumala	R	7572	3.0020	Oho , Hyvä Jumala !
hyvä	päivä	hyvää päivää	R	7494	1.9135	Hyvää päivää , Fredo .
hyvä	juttu	hyvä juttu	R	7407	2.4194	Tämä voi olla hyvä juttu .
hyvä	poika	hyvä poika	R	7014	1.8225	Hyvä poika .
hyvä	asia	hyvä asia	R	6958	1.4458	Onko se mielestäsi hyvä asia ?
hyvä	tuntua	tuntuu hyvältä	L	6945	2.7344	Missä vain tuntuu hyvältä .
hyvä	tosi	tosi hyvä	L	6704	2.7298	Olen tosi hyvä siinä .
hyvä	aika	aika hyvä	L	6683	1.1519	Olet aika hyvä ampuja itsekin .
hyvä	joulu	hyvää joulua	R	5901	4.2504	Hyvää joulua , Ted .
hyvä	ihan	ihan hyvä	L	5541	2.1111	Tuommoinen kamppailulajipaska on aluksi ihan hyvä , Kenny ei luovuta .
hyvä	ihminen	hyvä ihminen	R	5347	1.5733	Olet hyvä ihminen , kuulehan ...
hyvä	syntymäpäivä	hyvää syntymäpäivää	R	4656	4.3183	Hyvää syntymäpäivää , Donna .
hyvä	syy	hyvä syy	R	4628	2.3228	Hänellä on nyt minun laillani hyvä syy vaihtaa puolta .
hyvä	aika	hyvä aika	R	4538	0.7648	Nyt ei ole hyvä aika .
hyvä	kovin	kovin hyvä	L	4303	3.2731	Hänellä ei kyllä ollut kovin hyvä vuosi .
hyvä	kaveri	paras kaverini	R	4187	2.1593	Olen innokkain ihailijasi , sinä olet paras kaverini .
hyvä	maailma	maailman paras	L	4167	2.1499	Naurakaa vaan , tosiasia on , tämä on paikka , josta maailman paras tarina on lähtöisin .
hyvä	paikka	hyvä paikka	R	4102	1.5087	Tämä on hyvä paikka .
hyvä	tyyppi	hyvä tyyppi	R	3563	2.6051	Olet hyvä tyyppi .
hyvä	tyttö	hyvä tyttö	R	3512	1.5112	Hyvä tyttö , iske sitä !
hyvä	tapa	paras tapa	R	3506	1.9963	Oletko varma , tämä on paras tapa ?
hyvä	yhtä	yhtä hyvä	L	3312	2.5353	Et kylläkään yhtä hyvä sellitoverini , Ramón .
hyvä	puoli	hyvä puoli	R	3299	1.8072	Siinä Ghost Dogissa on yksi hyvä puoli , Louie .
hyvä	näyttää	hyvältä näyttää	R	3238	0.8919	Hyvältä näyttää , leidit .
hyvä	päiväjatko	hyvää päivänjatkoa	R	3068	5.2762	Hyvää päivänjatkoa .
hyvä	kysymys	hyvä kysymys	R	2995	2.3756	Hyvä kysymys !
hyvä	yksi	yksi parhaista	L	2969	0.7802	hän panee tuulemaan , hän on yksi parhaista .
hyvä	erittäin	erittäin hyvä	L	2881	3.1364	He ovat erittäin hyvä jalkapallojoukkue .
hyvä	käyttää	käytetään hyväksi	L	2876	1.3897	Miltä tuntuu , käytetään hyväksi ?
hyvä	hetki	hyvä hetki	R	2758	1.5374	Ehkä nyt olisi hyvä hetki ojentaa Hamish suunnitelmat .
hyvä	lähteä	parasta lähteä	R	2693	0.6196	Teidän on parasta lähteä pikku lomalle .
