word	other_form	surface_form	direction	freq	pmi	example_sentence
kaunis	olla	on kaunis	L	29239	1.7553	Hän on kaunis suloinen
kaunis	nainen	kauniit naiset	R	4006	4.0353	Triadit rumat naiset tänne kauniit naiset tälle puolelle , heti !
kaunis	todella	Todella kaunista	L	2594	3.6975	Todella kaunista .
kaunis	näyttää	Näytänkö kauniilta	L	2267	3.0214	Näytänkö kauniilta ?
kaunis	tyttö	kaunis tyttö	R	1951	3.4094	Se on hyvin kaunis tyttö .
kaunis	päivä	kaunis päivä	R	1857	3.0043	jälleen kaunis päivä paratiisissa , ihmiset ,
kaunis	hyvin	hyvin kaunis	L	1520	2.7280	Se on hyvin kaunis tyttö .
kaunis	uni	Kauniita unia	R	1502	4.6997	Kauniita unia .
kaunis	kuinka	kuinka kaunis	L	999	2.6939	Sanoinko , kuinka kaunis olet ?
kaunis	nimi	Kaunis nimi	R	889	2.4774	Kaunis nimi .
kaunis	yhtä	yhtä kauniit	L	822	3.6277	Ovatko ne yhtä kauniit ennenkin ?
kaunis	vaimo	kauniin vaimoni	R	752	2.9704	olen onnekas , saan ehkä tanssia kauniin vaimoni kanssa .
kaunis	paikka	Kaunis paikka	R	745	2.2888	Kaunis paikka .
kaunis	tosi	tosi kaunis	L	716	2.9790	Olet tosi kaunis .
kaunis	silmä	kauniit silmät	R	679	3.0881	Sinulla on kauniit silmät , sinussa on eloisuutta ...
kaunis	noin	noin kaunis	L	623	2.6246	Minä tiedän , noin kaunis rouva on kovin kysytty
kaunis	oikein	oikein kauniilta	L	531	2.2955	Itse asiassa oikein kauniilta .
kaunis	poika	kaunis poika	R	519	1.7047	Hän on kaunis poika .
kaunis	tulla	tulee kaunista	L	518	0.1887	Siitä tulee kaunista ...
kaunis	koti	kaunis koti	R	482	2.2285	Teillä on kaunis koti .
kaunis	lapsi	kaunis lapsi	R	463	1.8356	Mahdoit olla kaunis lapsi Sillä katso nyt itseäsi
kaunis	asia	kauniista asioista	R	460	1.2153	Kertoi kauniiden tyttöjen ... tulisi nauttia kauniista asioista .
kaunis	näin	näin kaunis	L	449	2.0716	Varsinkin näin kaunis ase , aatelismiehelle tehty .
kaunis	kasvo	kauniit kasvot	R	447	4.1163	Teillä on kauniit kasvot .
kaunis	näky	kaunis näky	R	429	4.7945	Ei ollut kaunis näky .
kaunis	erittäin	erittäin kaunis	L	412	3.6775	Hän on erittäin kaunis .
kaunis	nuori	nuori kaunis	L	405	2.8922	Hän oli niin nuori kaunis .
kaunis	liian	liian kauniina	L	402	2.2944	Sitä pidettiin täydellisenä , jopa liian kauniina katsoa .
kaunis	paljon	paljon kaunista	L	388	1.4536	Täällä on niin paljon kaunista .
kaunis	nähdä	nähnyt kauniimpaa	L	385	0.5725	Oletko nähnyt kauniimpaa kuutamoa ?
kaunis	nuori	kaunis nuori	R	381	2.8311	Olet niin kaunis nuori neito .
kaunis	ilta	kaunis ilta	R	355	2.2080	Los Angelesissa on kaunis ilta tähdet loistavat kirkkaasti .
kaunis	tytär	kaunis tytär	R	341	2.7241	Sinulla on kaunis tytär .
kaunis	kukka	kauniista kukista	R	333	4.2128	Kiitos anteeksipyynnöstä kauniista kukista .
kaunis	ääni	kauniilla äänellään	R	327	2.9416	hän sanoo kauniilla äänellään sellaisia sanoja ....
kaunis	kaupunki	kaunis kaupunki	R	320	2.4113	Fergus Falls on kaunis kaupunki .
kaunis	talo	kaunis talo	R	316	2.1210	hän on nätti , heillä on kaunis talo hän on älykäs myös .
kaunis	ajatus	Kaunis ajatus	R	298	2.8874	Kaunis ajatus , se ei vain toimi ihan niin .
kaunis	sana	Kauniita sanoja	R	296	2.2954	Kauniita sanoja , keksini .
kaunis	ihminen	kauniit ihmiset	R	284	1.1239	Joku kertoi , sen hotellin kauniit ihmiset , ovimiehet , pikkolopojat tytöt , tiesitkö tämän ?
kaunis	aamu	kauniina aamuna	R	271	2.5629	Minua on käsketty hillitsemään itseni , muuten olisit eräänä kauniina aamuna mennyt yhteen 17: sta suosikkiautoistasi , olisit kääntänyt virta-avaimesta ...
kaunis	hymy	kaunis hymy	R	270	4.7553	Sinulla on kaunis hymy .
kaunis	hius	kauniit hiukset	R	254	3.5302	Onko kukaan koskaan kertonut , miten kauniit hiukset sinulla on ?
kaunis	ilma	kaunis ilma	R	246	3.3468	Piristy , ulkona on kaunis ilma .
kaunis	kovin	kovin kaunis	L	237	2.8601	Ei kovin kaunis .
kaunis	neito	kaunis neito	R	234	5.4863	Lumilautaileva sankari hänen kaunis neito ovat epäonnistuneet taas .
kaunis	vielä	vielä kauniimpi	L	224	0.7837	Hän oli vielä kauniimpi ensimmäisenä yönä .
kaunis	kuva	kaunista kuvaa	R	223	2.1457	He eivät koskaan lähetä kaunista kuvaa .
kaunis	maa	Kaunis maa	R	220	1.5442	Kaunis maa , eikö ?
kaunis	uskomaton	Uskomattoman kaunis	L	219	3.6943	Uskomattoman kaunis
