word	other_form	surface_form	direction	freq	pmi	example_sentence
kieli	puhua	puhu kieltä	L	516	2.6742	Hän ei puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Minä moni ongelma , en puhu kieltä kovin hyvin .
kieli	puhua	puhu kieltä	L	516	2.6742	Kukaan ei puhu kieltä ...
kieli	puhua	puhu kieltä	L	516	2.6742	En puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Mennään jonnekin missä emme puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Ei puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	En edes puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Sinähän et puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Olen Panamalla , en puhu kieltä ...
kieli	puhua	puhu kieltä	L	516	2.6742	Rauhassa nyt , kaveri ei puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Asut maassa et puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	En puhu kieltä , on niin kylmää sateista , etten voi kävellä paljon .
kieli	puhua	puhu kieltä	L	516	2.6742	Emme puhu kieltä , emme ole tervetulleita ,
kieli	puhua	puhu kieltä	L	516	2.6742	Olen juuttunut tähän maahan , en puhu kieltä , mulla on horkkatauti vain kolme vaivaista dollaria .
kieli	puhua	puhu kieltä	L	516	2.6742	Hän ei puhu kieltä , jota ymmärtäisin .
kieli	puhua	puhu kieltä	L	516	2.6742	Useimmat eivät puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Emme puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	vanhemmat olisivat mareja , on tapauksia , lapset eivät enää puhu kieltä .
kieli	puhua	puhu kieltä	L	516	2.6742	Han-setä , vannon , teeskentelin , etten puhu kieltä , enkä ymmärrä hyvin , en sanonut mitään , tiesin , suuttuisit .
kieli	puhua	puhu kieltä	L	516	2.6742	Ette tiedä , ette puhu kieltä .
kieli	oma	omaa kieltään	L	335	3.2550	Hän käyttää omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	He opiskelivat omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Heidän omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Plug Uglies puhuu omaa kieltään tappelee poliisin kanssa .
kieli	oma	omaa kieltään	L	335	3.2550	Tämä puhuukin omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	He pukeutuivat omalla tavallaan puhuivat omaa kieltään jiddišiä .
kieli	oma	omaa kieltään	L	335	3.2550	Jopa kaikkein valppain henkilö unohtaa suojamuurinsa , kuulee jonkun puhuvan omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	SYSTEM ALI System Alissa jokainen puolustaa omaa identiteettiään , omaa kieltään kulttuuriaan .
kieli	oma	omaa kieltään	L	335	3.2550	He puhuvat vain omaa kieltään , joten meidän täytyy käyttää tulkkia .
kieli	oma	omaa kieltään	L	335	3.2550	Majakanvartija ilmapallo kertovat omaa kieltään hän valehteli meille .
kieli	oma	omaa kieltään	L	335	3.2550	Oikeastaan hän on utelias teidän päivällisestänne , , tapasin hänet , hän oli niin nälissään , yritti syödä omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	He puhuvat aivan omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Se oppii omaa kieltään Beetalta .
kieli	oma	omaa kieltään	L	335	3.2550	Oppimisen lisäksi he yrittivät opettaa omaa kieltään lähettämällä ääni kuvasignaaleja .
kieli	oma	omaa kieltään	L	335	3.2550	Nämä matemaatikot puhuvat omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Mudd puhuu ihan omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Hän puhuu vain omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Puhun aina palvelusväelleni heidän omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	On vaikeaa , ei voi puhua omaa kieltään .
kieli	oma	omaa kieltään	L	335	3.2550	Se puhuu omaa kieltään .
kieli	eri	eri kieltä	L	303	4.6207	Olen sotilaskuvernööri pienessä omavaraisessa valtiossa jossa on omat lait , eri kieltä porukka menossa paikasta toiseen ympäri vuorokauden .
kieli	eri	eri kieltä	L	303	4.6207	Montaako eri kieltä osaat ?
kieli	eri	eri kieltä	L	303	4.6207	Timorissa puhuttiin kolmeakymmentä eri kieltä murretta ihmisen piirissä
kieli	eri	eri kieltä	L	303	4.6207	Serkkuni antoi äidilleen linnun , joka puhui viittä eri kieltä .
kieli	eri	eri kieltä	L	303	4.6207	Puhuinko eri kieltä ?
kieli	eri	eri kieltä	L	303	4.6207	Kuinka voin puhua eri kieltä , tietämättä sitä itse ?
kieli	eri	eri kieltä	L	303	4.6207	Tämän valtavan maan kohtalo oli heidän käsissä missä ihmiset puhuivat 13: ta eri kieltä jota Ferenc Nadasdy johti .
kieli	eri	eri kieltä	L	303	4.6207	Tämä nainen puhuu : ää eri kieltä .
kieli	eri	eri kieltä	L	303	4.6207	Käännän oikein : ää eri kieltä .
