word	other_form	surface_form	direction	freq	pmi	example_sentence
kirja	olla	kirja on	R	3883	0.3277	En voi katua kaikkea kirjoittamaani , jokainen kirja on erilainen .
kirja	lukea	luin kirjasi	L	2122	4.7260	Luin kirjasi .
kirja	kirjoittaa	kirjoitti kirjan	L	2005	4.8758	Äitinikin kirjoitti kirjan .
kirja	uusi	uutta kirjaa	L	817	3.0735	Valmistelen uutta kirjaa .
kirja	hyvä	hyvä kirja	L	532	1.0058	Ensinnäkin , mielestäni se on hyvä kirja .
kirja	nimi	kirjan nimi	R	457	2.4033	"Kirjan nimi on : "" "" Yrityssupistukset !"
kirja	kertoa	kirja kertoo	R	408	1.3955	Tämä kirja kertoo päämääräsi kohtalosi .
kirja	mukaan	kirjan mukaan	R	373	2.4432	kirjan mukaan perseesi pitäisi halkoa vettä .
kirja	ottaa	ota kirja	L	370	1.4576	Ota kirja , johon voit kirjoittaa .
kirja	yksi	yksi kirja	L	368	1.7696	niin silloin päätin yksi kirja riittää .
kirja	antaa	anna kirja	L	350	1.1262	Anna kirja .
kirja	löytää	löysin kirjan	L	344	1.8311	Löysin kirjan ruokasalin seisovasta pöydästä kaikkien pöytäliinojen alta , tapasin laitaa sen paitani alle menin kylpy huoneeseen istui luin sitä .
kirja	sanoa	kirjassa sanotaan	R	306	0.6719	Yli miljoonassa kirjassa sanotaan täsmälleen sama asia .
kirja	mooses	mooseksen kirja	L	301	6.6444	Mooseksen kirja , 19: 2.
kirja	avoin	avoin kirja	L	290	5.2740	Ihana kotimaasi on avoin kirja .
kirja	ostaa	ostaa kirjan	L	273	2.8306	joskus haluat ostaa kirjan ...
kirja	lukea	kirjassa lukee	R	244	2.5631	Mitä kirjassa lukee ?
kirja	loppu	kirjan loppuun	R	238	2.6565	Vernin rahat uskomaton motivaatiopiikki saivat minut kirjoittamaan kirjan loppuun neljässä päivässä .
kirja	avata	avatkaa kirjanne	L	232	2.6861	Avatkaa kirjanne kappaleesta 8.
kirja	julkaista	julkaisi kirjan	L	222	4.8721	Kesäkuussa kuningas julkaisi kirjan .
kirja	varjo	varjojen kirja	L	214	4.7033	Perheeni , Varjojen kirja .
kirja	varten	kirjaa varten	R	212	3.2219	Uutta kirjaa varten ?
kirja	hakea	hae kirja	L	204	2.1150	Hae kirja .
kirja	musta	musta kirja	L	203	3.2007	Tarun mukaan amerikkalaisten löytämä musta kirja herättää kuolleista .
kirja	kirjoittaa	kirjan kirjoittamista	R	200	2.5707	Tarkoitan , harrastuksena myöhemmin , olet rikas jonain päivänä , haluat kokeilla kirjan kirjoittamista ... sopii .
kirja	etsiä	etsin kirjaa	L	185	1.6501	Etsin kirjaa .
kirja	ensimmäinen	ensimmäinen kirja	L	183	2.2300	Oliko ensimmäinen kirja onnekas sattuma toinen floppasi ?
kirja	koko	koko kirjan	L	182	1.6286	Sanokaa minun sanoneen , julkisuus taantuu , lehdistö unohtaa koko kirjan , mikä on täysin oikein .
kirja	sivu	kirjanne sivulta	R	180	3.9770	Menkää tuonne avatkaa kirjanne sivulta .
kirja	pyhä	pyhän kirjan	L	178	3.8343	Veli Hieronymos tuntee parhaiten pyhän kirjan .
kirja	seuraava	seuraava kirja	L	176	2.6799	Mistä seuraava kirja kertoo ?
kirja	vanha	vanha kirja	L	176	1.8609	Se on vanha kirja .
kirja	kertoa	kertovaa kirjaa	L	170	0.5201	Isä ei etsinyt haudasta kertovaa kirjaa vaan itse hautaa .
kirja	takaisin	kirjan takaisin	R	168	1.4226	Ei kai poikani ole niin typerä , hän toisi kirjan takaisin tänne ?
kirja	viedä	vei kirjan	L	168	1.2719	Sinbadin mukaan Eris vei kirjan .
kirja	kuollut	kuolleiden kirja	L	161	2.8333	Kuolleiden kirja antaa hengen .
kirja	katsoa	katso kirjasta	L	161	0.8221	Katso kirjasta .
kirja	pois	kirja pois	R	159	1.2687	Laita kirja pois .
kirja	julkaista	kirja julkaistaan	R	158	4.5320	Lillyn kirja julkaistaan .
kirja	valmis	kirjan valmiiksi	R	156	1.6434	Tarvitset savukkeen , poltit , olet lopettanut , paitsi aina saat kirjan valmiiksi , poltat yhden .
kirja	puhua	puhutteko kirjasta	L	150	0.5078	Puhutteko kirjasta ?
kirja	nähdä	nähdä kirjan	L	147	0.2010	Haluan nähdä kirjan .
kirja	tuoda	tuoda kirjan	L	143	1.6710	Olen pahoillani , halusin vain tuoda kirjan .
kirja	käyttää	käyttää kirjaa	L	133	1.3933	Siten hän kommunikoi hän käyttää kirjaa selviytyäkseen ongelmistaan .
kirja	kansi	kirjaa kannen	R	126	4.4248	Älä arvostele kirjaa kannen perusteella .
kirja	isä	isän kirja	L	125	0.6163	Tämä on isän kirja .
kirja	takia	kirjan takia	R	122	1.8226	Ei , tulimme kirjan takia .
kirja	lehti	lehtien kirja	L	121	3.2045	Ehkä Lehtien kirja löytyy tähtikuvioita tarkastelemalla .
kirja	nimi	nimi kirjaan	L	114	1.0148	nimi kirjaan teillä oli täällä mies nimeltä rosta venäläinenkö ?
kirja	kuolema	kuoleman kirjan	L	112	2.0087	Tarkoitatko , kuoleman kirjan käytöstä ei joudu maksamaan ?
