word	other_form	surface_form	direction	freq	pmi	example_sentence
outo	olla	on outoa	L	16666	1.4847	Päiväkirjan pitäminen on outoa , en ole aiemmin pitänyt kirjaa enkä ymmärrä , miten minä ylipäätään kukaan muukaan voisi olla kiinnostunut 13-vuotiaan koulutytön aivoituksista .
outo	tuntua	tuntuu oudolta	L	1750	4.1336	Tiedän vain , tuntuu oudolta , ei pääse ulos ei saa hengittää raikasta ilmaa , ei saa juoksennella leikkiä ...
outo	vähän	vähän outoa	L	1563	3.7053	Eikö se ole vähän outoa ?
outo	todella	todella outoa	L	1505	3.4447	, tämä on todella outoa .
outo	kuulostaa	kuulostaa oudolta	L	1396	4.3361	Dickie , tämä kaikki kuulostaa oudolta .
outo	tosi	tosi outoa	L	1313	3.8770	Tämä on tosi outoa mitä ?
outo	juttu	outoja juttuja	R	1277	3.4390	Tosi outoja juttuja .
outo	aika	aika outoa	L	1142	2.1626	Tämä on aika outoa , eikö totta ?
outo	asia	outoja asioita	R	1017	2.3003	päähäni tulee outoja asioita .
outo	hieman	hieman outoa	L	947	4.1366	Eikö se ole hieman outoa ?
outo	tapa	oudolla tavalla	R	777	3.2671	Taiteilijan temperamentti ilmenee oudolla tavalla , mr Pennington .
outo	tyyppi	outo tyyppi	R	615	3.6259	Sinä olet outo tyyppi , Upham.
outo	tunne	outo tunne	R	552	4.0234	ette pysty siihen tuntemanne outo tunne housujenne takamuksissa on minun mononi teidän perseessänne !
outo	näyttää	näyttää oudolta	L	533	1.8652	Oletko ikinä tuijottanut kattoon , se alkoi näyttää oudolta ?
outo	ääni	outoja ääniä	R	507	3.6717	Edmunds ei vastaa täällä kuuluu outoja ääniä .
outo	hyvin	hyvin outoa	L	490	1.8875	Minusta se on hyvin outoa .
outo	paikka	outo paikka	R	447	2.0695	Lahdin kotoa rohkeasti , New York on kova outo paikka tunnen oloni omituiseksi taalla .
outo	uni	outoa unta	R	440	3.7635	Näin outoa unta viime yönä .
outo	liian	liian outoa	L	423	2.6369	Tuo on vähän liian outoa .
outo	ihan	ihan outo	L	399	2.2577	Sinä olet ihan outo .
outo	vaikuttaa	vaikuttaa oudolta	L	395	3.2870	Tiedän , se vaikuttaa oudolta .
outo	tulla	tuli outo	L	369	0.1411	Hänen kuolemansa jälkeen Martinista tuli outo .
outo	tapahtua	tapahtuu outoja	L	351	1.5932	Tässä talossa tapahtuu outoja asioita .
outo	mies	outo mies	R	299	0.9840	Olet outo mies .
outo	olo	outo olo	R	294	3.4665	Sanoit sinulla on outo olo .
outo	nähdä	nähnyt outoja	L	293	0.5910	Oletko nähnyt outoja juttuja ?
outo	nähdä	outoa nähdä	R	262	0.4792	On vähän outoa nähdä sinut työpaikalla .
outo	kyllä	outoa kyllä	R	252	0.7881	Outoa kyllä hän on viaton .
outo	tapahtua	outoa tapahtuu	R	238	1.2046	Jotain outoa tapahtuu .
outo	nimi	outo nimi	R	222	1.3815	Niinpä , se on outo nimi !
outo	paljon	paljon outoja	L	213	1.1454	Anteeksi , ole niin varovainen täällä käy niin paljon outoja tyyppejä .
outo	kuulla	kuullut outoja	L	207	1.0152	Etkö kuullut outoja ääniä naapurustossasi eilen illalla ?
outo	kysymys	outo kysymys	R	206	2.4763	Tämä voi olla outo kysymys , olemme vasta tavanneet .
outo	tapaus	outo tapaus	R	205	2.7528	Eikö tuo äskeinen ollut vähän outo tapaus ?
outo	tutkia	tutkia outoja	L	191	2.3404	Tässä kerrotaan tähtilaiva Enterprisen matkoista sen tehtävästä tutkia outoja , uusia maailmoja etsiä uutta elämää uusia kulttuureja mennä rohkeasti sinne , missä yksikään ihminen ei ole käynyt .
outo	hiukan	hiukan outoa	L	189	4.1349	sitten ihmettelet , näet jotain hiukan outoa .
outo	aika	outoja aikoja	R	189	0.3639	Elämme outoja aikoja , niitä jotka seisovat oikeuden vapauden takana syytetäänkin rikollisiksi .
outo	muuttua	muuttui oudoksi	L	188	2.4794	sitten koodi muuttui oudoksi , salausta , jota en ole ikinä nähnyt .
outo	käytös	oudon käytöksen	R	187	4.7720	oudon käytöksen palkinnon saa ... ?
outo	jotenkin	jotenkin outo	L	187	3.6716	Hän oli aamulla jotenkin outo .
outo	kuinka	kuinka outoa	L	185	1.2991	Kuinka outoa .
outo	haista	haisee oudolta	L	174	3.5942	Mummon luona haisee oudolta .
outo	tapahtuma	outoja tapahtumia	R	171	3.5573	outoja tapahtumia , sen sellaista .
outo	vielä	vielä oudompaa	L	166	0.7756	Jotain vielä oudompaa .
outo	varmaan	varmaan oudolta	L	163	1.8800	Siinä tapauksessa vaikutti varmaan oudolta , hänellä oli kihlasormus .
outo	puhua	puhuu outoja	L	163	0.2912	Andy puhuu outoja .
outo	varmasti	varmasti outoa	L	160	1.7818	Tämä on varmasti outoa .
outo	päivä	outo päivä	R	160	0.8443	Tämä on vain outo päivä .
outo	uusi	outoja uusia	R	158	1.1307	sen tehtävästä tutkia outoja uusia maailmoja , etsiä uusia elämänmuotoja uusia siviilisaatioita .
outo	näköinen	oudon näköinen	R	156	4.1711	Sinun silmäsi on oudon näköinen .
