word	other_form	surface_form	direction	freq	pmi	example_sentence
tehdä	olla	on tehty	L	115592	0.3094	Työni on tehty .
tehdä	olla	on tehty	L	115592	0.3094	Keskeytän toimintasi , Halille on tehty näen käynnistämisen vaikutukset .
tehdä	olla	on tehty	L	115592	0.3094	keisarin kulta on minulla , työni on tehty .
tehdä	olla	on tehty	L	115592	0.3094	Seinät on tehty puusta .
tehdä	olla	on tehty	L	115592	0.3094	Huvilasta on tehty toinenkin tarjous .
tehdä	olla	on tehty	L	115592	0.3094	Tämä merkittävä lahjoitus on tehty ...
tehdä	olla	on tehty	L	115592	0.3094	Kyle , se on tehty jo .
tehdä	olla	on tehty	L	115592	0.3094	Säännöt on tehty hyvästä syystä .
tehdä	olla	on tehty	L	115592	0.3094	Minut on tehty naurunalaiseksi .
tehdä	olla	on tehty	L	115592	0.3094	Tämä elokuva on tehty Chuck Barrisin elämänkerran , julkisten tietojen satojen nauhoitettujen haastattelutuntien pohjalta .
tehdä	olla	on tehty	L	115592	0.3094	Mitä kuriirien murhalle on tehty ?
tehdä	olla	on tehty	L	115592	0.3094	Sillä minut on tehty lentämään
tehdä	olla	on tehty	L	115592	0.3094	Säteilytys on tehty .
tehdä	olla	on tehty	L	115592	0.3094	Minut on tehty nopeuteen .
tehdä	olla	on tehty	L	115592	0.3094	Yhden viimeisen jutun sitten se on tehty .
tehdä	olla	on tehty	L	115592	0.3094	Valtion johdossa on tehty päätös satelliittimme havaitsevat kapinallisten ohjuksia tankattavan ne voidaan laukaista noin tunnin kuluttua meidän on toimittava .
tehdä	olla	on tehty	L	115592	0.3094	Osa on tehty hänelle .
tehdä	olla	on tehty	L	115592	0.3094	Se on tehty hunajasta .
tehdä	olla	on tehty	L	115592	0.3094	Se on tehty ?
tehdä	olla	on tehty	L	115592	0.3094	Sitten se on tehty , oi valittu .
tehdä	työ	tehdä töitä	R	30647	3.0411	joinakin taas , pitää tehdä töitä sen eteen .
tehdä	työ	tehdä töitä	R	30647	3.0411	Nyt sinun pitää tehdä töitä sen eteen .
tehdä	työ	tehdä töitä	R	30647	3.0411	Anna hänen tehdä töitä .
tehdä	työ	tehdä töitä	R	30647	3.0411	Minun pitää tehdä töitä .
tehdä	työ	tehdä töitä	R	30647	3.0411	Sinun pitäisi tehdä töitä
tehdä	työ	tehdä töitä	R	30647	3.0411	Voimme taas tehdä töitä normaalissa valaistuksessa .
tehdä	työ	tehdä töitä	R	30647	3.0411	Voimme tehdä töitä huomenna .
tehdä	työ	tehdä töitä	R	30647	3.0411	Minun täytyy tehdä töitä jäädä tänne .
tehdä	työ	tehdä töitä	R	30647	3.0411	Mikäs siinä , olisi mukava tehdä töitä presidentinvaaleissa .
tehdä	työ	tehdä töitä	R	30647	3.0411	Täytyisi tehdä töitä .
tehdä	työ	tehdä töitä	R	30647	3.0411	On ilo taas tehdä töitä kanssasi .
tehdä	työ	tehdä töitä	R	30647	3.0411	Pitää olla työlupa voidakseen tehdä töitä geton saksalaisyrityksissä , muuten ...
tehdä	työ	tehdä töitä	R	30647	3.0411	Luulenpa , sinun täytyy tehdä töitä sen eteen , kaveri .
tehdä	työ	tehdä töitä	R	30647	3.0411	Hän haluaa vieläkin tehdä töitä
tehdä	työ	tehdä töitä	R	30647	3.0411	Minun pitää tehdä töitä korvatakseni epäonnistumiseni tehtaalla .
tehdä	työ	tehdä töitä	R	30647	3.0411	voisinkin jäädä en voi tehdä töitä tarvitsen rahaa .
tehdä	työ	tehdä töitä	R	30647	3.0411	Olin oikolukijana , odotan innolla ... saisin tehdä töitä kanssanne .
tehdä	työ	tehdä töitä	R	30647	3.0411	Minun täytyy tehdä töitä .
tehdä	työ	tehdä töitä	R	30647	3.0411	Sinun täytyy tehdä töitä sen eteen .
tehdä	työ	tehdä töitä	R	30647	3.0411	Sen eteen pitää tehdä töitä .
tehdä	täällä	teet täällä	R	27337	2.0884	Mitä teet täällä ?
tehdä	täällä	teet täällä	R	27337	2.0884	Mitä sinä teet täällä ?
